;2001;2002;2003;2004;2005;2006;2007;2008;2094;2096;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2099;2019;2020;2021;2022;2033;2034;2035;2036;2037;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2038;2039;2040;2041;2042;2043;2044;2061;2050;2051;2052;2053;2054;2056;2058;2045;2046;2047;2048;2049;2055;2057;2060;2101;2102;2103;2104;2105;2109;2110;2111;2106;2107;2108;2112;2113;2114;2115;2116;2172;2117;2118;2119;2120;2121;2122;2123;2165;2170;2142;2143;2134;2135;2136;2137;2138;2139;2140;2141;2144;2145;2146;2147;2148;2166;2149;2150;2151;2152;2153;2154;2175;2176;2182;2155;2156;2157;2158;2159;2164;2167;2183;2184;2185;2124;2125;2126;2127;2128;2130;2171;2173;2177;2129;2131;2132;2168;2169;2178;2180;2181;2133;2160;2161;2162;2163;2174;2179;2186;2187;2207;2208;2209;2210;2212;2213;2264;2268;2211;2214;2215;2216;2217;2218;2219;2220;2221;2222;2223;2224;2225;2226;2227;2228;2229;2230;2231;2232;2233;2234;2235;2236;2237;2238;2239;2240;2241;2242;2243;2244;2245;2266;2246;2247;2248;2249;2250;2251;2252;2253;2254;2299;2201;2202;2203;2204;2205;2206;2263;2265;2267;2255;2256;2257;2258;2259;2260;2261;2262;6001;6002;6003;6004;6005;6006;6007;6008;6018;6009;6010;6011;6012;6013;6014;6056;6057;6058;6044;6046;6047;6048;6049;6050;6051;6055;6069;6099
Число избирателей, внесенных в список;2517;2164;969;2592;2316;2670;2439;2583;6;1;1828;1509;2120;2030;2451;1488;2132;2406;2106;1242;7;1437;1892;2126;1891;2427;2229;1927;1870;1825;2067;2078;1540;1371;2435;2266;2293;2120;2099;2438;2283;2673;2251;1741;2219;2435;2846;2558;2653;1856;2405;2390;2318;2671;2953;2308;2417;2620;2341;2397;2435;2200;2734;2883;2564;2529;2326;2460;2146;2514;2850;2425;2431;2164;2085;2658;2573;2242;2124;1719;2633;2835;2742;2630;2516;2647;2594;1757;1660;2268;2827;2930;2537;2636;2837;2733;2727;2574;2440;2665;2773;2817;2804;2970;2675;2250;2428;2395;2698;2267;2443;2837;2819;2788;2815;2559;2391;2192;2707;2682;2711;1950;2329;2514;2320;2577;2475;2747;2683;2768;2732;2759;2204;2982;2898;2939;2355;2669;2744;2948;2719;2148;2615;2289;2666;2354;2614;2311;3081;2290;3417;3100;2558;2764;3166;3031;2656;2779;3334;2856;2565;2740;3266;3754;2439;2716;2870;3422;2782;2925;3060;2317;3004;2758;2200;1700;2024;1773;1832;1832;1653;2226;2553;2694;2558;2615;2905;2459;2418;2549;2025;2785;2116;1539;1708;2419;2311;1532;3012;3058;2018;832;3431;3799;2317;1596;2326;3129;2790;4030;3719;3303;3303;3271;3780;3210;3281;1801;2493;1955;2445;2065;2884;2916;2287;2261;2748;2602;2864;2325;2723;2250;2164;2960;2988;2765;2975;2997;1711;2532;2744;2214;2267;3364;3264;3086;154
Число бюллетеней, полученных участковой комиссией;2100;1800;900;2100;2100;2300;2100;2200;6;1;1600;1300;1900;1800;2200;1200;2100;2100;1800;1000;7;1300;1900;1900;1800;2300;2200;1700;1700;1600;1800;1900;1400;1200;2200;2000;2100;1900;1800;2200;2000;2400;2000;1500;2000;2200;2600;2300;2400;1600;2200;2100;2100;2400;2600;2100;2200;2400;2100;2200;2100;1900;2700;2300;2000;2000;2000;2000;2000;2000;2300;2200;2200;2000;2000;2300;2000;2000;2000;1500;2300;2300;2300;2200;2000;2200;2200;1400;1400;2000;2300;2300;2000;2000;2300;2300;2400;2000;2100;2200;2200;2300;2300;2400;2300;2000;2000;2000;2300;2000;2000;2300;2200;2200;2300;2200;2200;2000;2300;2200;2300;1200;2000;2000;2000;2200;2000;2300;2200;2300;2300;2300;2000;2400;2400;2400;2000;2300;2300;2300;2300;2000;2000;2000;2100;2000;2200;2000;2500;2000;2700;2500;2000;2200;2500;2400;2100;2200;2500;2200;2000;2100;2500;2900;1900;2200;2300;2700;2920;2800;2400;1800;2400;2200;1700;1300;1600;1400;1400;1400;1300;1800;2000;2100;2000;2100;2300;1900;1900;2000;1600;2200;1700;1200;1300;1900;1800;1200;2400;2400;1600;842;2700;3000;1800;1200;1800;2400;2200;3100;2900;2600;2600;2600;2700;2500;2600;1400;1900;1600;2100;1800;2500;2500;2000;2000;2400;2200;2400;2000;2200;1900;1900;2500;2500;2400;2500;2500;1500;2100;2400;1800;1900;2800;2800;2600;160
Число бюллетеней, выданных избирателям, проголосовавшим досрочно;469;813;582;451;683;451;279;361;0;0;178;140;468;171;234;132;149;243;247;280;0;121;191;205;462;314;325;357;400;136;152;287;279;144;302;243;273;278;189;252;180;156;118;136;159;185;202;218;249;173;265;236;225;259;77;308;297;302;260;254;216;303;613;423;213;345;267;281;322;248;226;391;368;288;673;386;246;584;964;258;309;306;317;379;337;681;550;198;2;314;287;359;346;381;399;362;313;331;382;287;345;275;268;201;365;389;516;358;417;348;341;252;444;350;323;276;324;421;349;669;244;153;567;245;556;412;631;333;511;434;597;612;422;1127;430;977;0;727;653;1006;1348;688;932;799;716;772;906;777;1110;525;240;378;276;378;165;276;149;124;262;175;295;301;280;285;210;247;413;335;983;278;396;328;488;475;434;394;233;665;346;326;331;371;2;253;114;183;170;221;247;176;204;147;5;185;142;318;828;615;436;380;448;0;165;220;217;215;105;698;174;190;161;283;273;285;295;561;376;182;1;117;270;258;227;494;407;788;495;306;702;528;278;420;215;795;1200;930;1340;103;99;161;186;191;212;244;122;146;0
Число бюллетеней, выданных участковой комиссией избирателям в помещении;292;394;17;389;239;331;257;185;6;1;160;193;468;155;202;141;167;220;275;92;7;171;226;281;328;323;214;280;626;261;209;252;197;263;657;259;262;252;243;300;187;243;216;139;208;183;248;169;292;175;282;242;274;247;239;239;279;226;206;200;210;256;280;226;236;221;214;221;200;284;166;219;308;171;303;308;308;675;327;143;251;244;210;317;291;596;331;135;246;238;325;322;228;264;268;278;323;290;320;298;276;357;555;337;262;200;199;231;386;222;317;157;362;199;256;304;203;205;261;562;256;132;301;139;215;199;202;242;267;273;368;190;173;192;1045;231;166;283;250;183;253;675;481;290;208;785;489;514;1209;282;277;291;144;178;264;169;140;150;209;199;317;372;259;308;187;214;280;338;512;200;254;280;379;282;287;202;182;270;210;187;174;257;664;333;587;253;235;178;246;242;191;237;572;123;143;189;165;191;219;379;213;225;172;406;237;228;376;372;176;205;245;374;291;316;308;351;341;201;458;146;257;227;260;251;258;297;263;284;285;130;454;189;185;789;178;339;263;186;89;141;185;154;213;278;156;175;0
Число бюллетеней, выданных избирателям, проголосовавшим вне помещения;23;0;0;30;8;14;167;375;0;0;16;15;19;34;18;11;12;17;8;2;0;29;29;24;9;42;25;4;7;18;44;2;40;34;48;58;95;15;32;3;25;39;18;6;18;15;15;4;6;3;10;12;6;2;5;5;2;10;14;31;8;6;4;0;13;15;32;4;10;7;3;23;94;25;135;12;10;11;23;14;17;28;29;56;65;149;61;10;171;21;26;4;5;5;16;6;6;39;4;24;6;6;19;8;6;41;76;10;11;14;44;16;27;6;18;25;47;7;52;1;1;0;16;86;18;238;67;62;71;10;130;50;124;11;30;12;793;75;29;49;214;183;291;235;319;240;175;41;35;280;51;0;45;27;8;7;7;2;21;57;0;10;3;121;12;28;8;13;2;29;0;17;36;58;111;72;103;19;126;20;76;60;332;55;39;9;3;43;14;23;15;4;17;21;70;12;15;7;6;4;3;607;29;12;6;33;35;14;22;5;37;17;18;64;20;12;3;7;107;16;21;19;5;31;18;15;54;110;128;15;325;3;14;39;10;15;4;8;2;26;24;31;22;44;5;0;154
Число погашенных бюллетеней;1316;593;301;1230;1170;1504;1397;1279;0;0;1246;952;945;1440;1746;916;1772;1620;1270;626;0;979;1454;1390;1001;1621;1636;1059;667;1185;1395;1359;884;759;1193;1440;1470;1355;1336;1645;1608;1962;1648;1219;1615;1817;2135;1909;1853;1249;1643;1610;1595;1892;2279;1548;1622;1862;1620;1715;1666;1335;1803;1651;1538;1419;1487;1494;1468;1461;1905;1567;1430;1516;889;1594;1436;730;686;1085;1723;1722;1744;1448;1307;774;1258;1057;981;1427;1662;1615;1421;1350;1617;1654;1758;1340;1394;1591;1573;1662;1458;1854;1667;1370;1209;1401;1486;1416;1298;1875;1367;1645;1703;1595;1626;1367;1638;968;1799;915;1116;1530;1211;1351;1100;1663;1351;1583;1205;1448;1281;1070;895;1180;1041;1215;1368;1062;485;454;296;676;857;203;630;668;146;913;2132;1831;1535;1617;2063;1948;1804;1924;2008;1769;1388;1417;1958;2186;1491;1711;1599;2014;1423;2293;1750;1175;1497;1385;868;632;1082;446;718;867;719;1112;1002;1459;1260;1655;1892;1458;1393;1559;1190;1812;1106;871;945;1381;792;387;1739;1637;936;10;2334;2362;1340;724;1284;1316;1828;2700;2457;1926;2018;1935;2077;1576;1880;1010;1334;1321;1552;1296;2008;1724;1317;900;1588;1500;1285;1327;1143;1288;1486;877;1112;1116;893;2203;1310;1772;2005;1424;1453;2234;2517;2279;6
Число бюллетеней, содержащихся в переносных ящиках;243;813;0;219;685;464;167;675;0;0;194;155;19;205;149;133;12;258;255;281;0;150;220;229;100;356;350;361;407;18;196;285;319;34;146;297;366;282;214;253;205;1;18;36;171;200;217;222;254;174;265;241;231;256;82;313;299;294;170;282;217;305;593;423;226;360;299;285;322;255;229;373;462;312;808;396;256;595;987;271;326;334;346;435;397;827;611;208;171;335;313;363;351;386;415;368;319;370;386;311;351;281;287;209;371;430;592;368;428;357;383;268;471;356;333;294;371;402;401;581;244;153;162;331;574;650;698;395;582;444;727;662;546;1138;460;989;793;800;682;1055;1562;871;1203;1034;1035;1012;1081;818;1144;805;291;378;321;405;171;283;156;126;283;229;295;309;3;402;93;275;393;346;983;307;396;344;524;533;545;466;221;368;472;346;407;431;331;132;61;88;170;263;256;69;219;148;17;206;212;328;838;618;442;384;451;607;194;232;223;248;140;644;196;195;198;300;291;349;315;573;89;189;107;133;21;275;222;146;43;803;155;416;830;542;325;71;229;834;1210;311;1340;111;101;187;210;222;22;177;127;146;154
Число бюллетеней, содержащихся в стационарных ящиках;541;389;599;631;245;331;536;185;6;1;160;193;936;155;304;141;316;222;265;93;7;171;223;278;696;322;214;280;626;397;209;255;197;407;861;263;264;263;249;302;187;435;334;238;214;183;248;169;292;177;292;247;274;252;239;239;279;244;310;203;217;260;257;225;236;221;214;221;200;284;166;219;306;170;303;310;308;675;327;143;251;244;210;317;296;596;331;135;248;238;325;322;228;264;268;278;323;290;320;298;275;357;552;328;262;200;199;231;386;226;319;157;362;199;255;308;203;229;259;651;256;132;720;139;215;199;200;240;267;272;365;187;173;192;1045;229;166;282;249;183;253;675;479;290;208;785;487;514;1208;282;277;291;144;178;266;169;140;150;209;202;317;374;539;312;316;214;308;340;512;200;254;280;378;282;287;202;297;586;210;187;174;257;663;499;587;357;238;174;251;372;191;236;577;122;143;191;170;195;219;379;213;225;172;365;237;228;376;407;176;205;245;374;291;316;308;351;631;201;459;146;526;227;270;630;639;297;657;284;282;130;454;540;185;789;178;969;263;186;89;141;185;153;425;389;156;175;0
Число недействительных бюллетеней;24;18;17;19;11;59;0;21;0;0;14;17;4;22;19;9;40;9;24;18;0;6;32;37;28;36;13;18;28;19;15;26;0;8;0;30;5;36;45;33;16;20;18;16;29;26;17;19;24;16;8;18;23;29;13;11;14;0;32;30;44;13;136;48;23;31;31;21;15;33;18;5;8;2;38;0;30;16;14;14;15;12;21;7;23;0;12;12;19;20;35;14;24;25;19;4;28;50;3;19;22;37;2;21;51;22;20;24;0;28;20;12;19;14;30;20;7;22;7;39;24;11;19;8;25;21;12;4;30;27;12;20;1;3;2;4;26;17;18;21;9;16;19;32;0;4;7;17;13;12;19;32;14;10;11;22;11;13;22;25;11;37;21;17;9;24;92;15;58;24;27;32;11;2;15;7;5;2;6;1;8;11;15;23;30;0;11;18;37;28;27;14;16;17;7;26;8;1;22;11;13;3;4;27;1;22;27;35;16;13;48;42;41;45;21;44;47;9;20;1;27;17;22;16;21;21;27;22;28;11;3;4;4;2;16;18;25;13;6;57;15;14;22;23;8;24;0
Число действительных бюллетеней;760;1184;582;831;919;736;703;839;6;1;340;331;951;338;434;265;288;471;496;356;7;315;411;470;768;642;551;623;1005;396;390;514;516;433;1007;530;625;509;418;522;376;416;334;258;356;357;448;372;522;335;549;470;482;479;308;541;564;538;448;455;390;552;714;600;439;550;482;485;507;506;377;587;760;480;1073;706;534;1254;1300;400;562;566;535;745;670;1423;930;331;400;553;603;671;555;625;664;642;614;610;703;590;604;601;837;516;582;608;771;575;814;555;682;413;814;541;558;582;567;609;653;1193;476;274;863;462;764;828;886;631;819;689;1080;829;718;1327;1503;1214;933;1065;913;1217;1806;1530;1663;1292;1243;1793;1561;1315;2339;1075;549;637;451;573;426;430;285;263;470;406;601;646;521;697;400;465;609;671;1437;483;623;592;891;813;817;661;513;952;676;532;573;677;979;608;618;445;397;419;470;413;383;370;578;311;348;493;1000;812;639;752;651;829;362;570;459;454;489;1016;356;387;395;632;541;620;602;880;673;381;546;278;520;485;470;760;661;1079;785;678;1084;661;776;607;410;1621;1372;1262;1578;284;184;271;380;361;425;543;275;297;154
