;6036;6037;6038;6039;6041;6045;6054;6065;6066;6027;6028;6029;6030;6031;6052;6060;6061;6062;6015;6016;6017;6026;6032;6033;6034;6053;6097;6098;6019;6020;6021;6022;6023;6024;6025;6059;6035;6040;6042;6043;6063;6064;6067;6068;2301;2302;2303;2304;2305;2306;2307;2308;2309;2393;2310;2311;2312;2313;2314;2315;2316;2319;2322;2394;2397;2398;2399;2317;2318;2320;2321;2323;2324;2325;2326;2327;2328;2329;2330;2331;2332;2333;2335;2346;2352;2353;2334;2336;2337;2338;2339;2340;2341;2344;2345;2347;2395;2396;2342;2343;2348;2349;2350;2351;2354;2355;2356
Число избирателей, внесенных в список;2693;2678;3289;2454;2529;3769;2371;3369;2859;2291;3045;2464;3306;2511;2071;3712;2301;3088;2612;2499;2766;2765;2753;3305;3069;2827;59;143;2969;2516;2789;2593;2681;2654;2982;2671;2767;2757;2273;2710;2616;2839;3451;2698;2577;2907;2020;2797;1776;2195;1617;1725;2063;330;2141;1457;1405;2666;1826;1882;2113;2489;2929;50;0;6;5;2296;2203;2159;2686;2911;2758;2075;1877;1553;1951;1771;1413;1748;1524;1830;1568;1521;2073;2084;2063;1620;2401;1747;2641;1442;1530;1935;2007;2455;11;10;1384;2412;1972;2632;2391;2034;2477;2541;1691
Число бюллетеней, полученных участковой комиссией;2200;2100;2800;2000;2100;3100;2100;2800;2400;1900;2600;2100;2800;2100;1800;3200;2000;2600;2200;2100;2300;2300;2300;2700;2400;2300;70;150;2600;2200;2400;2200;2300;2300;2600;2300;2300;2400;1900;2300;2200;2400;3000;2300;2200;2500;1808;2400;1500;1800;1400;1500;1800;350;1800;1306;1200;2300;1600;1600;1800;2100;2500;50;10;10;5;2000;1900;1800;2300;2500;2300;1700;1600;1300;1700;1500;1200;1500;1300;1600;1600;1300;1700;1800;1800;1486;2000;1500;2300;1200;1300;1600;1700;2000;50;10;1200;2100;1700;2200;2000;1700;2100;2100;1400
Число бюллетеней, выданных избирателям, проголосовавшим досрочно;186;285;283;162;232;121;193;468;310;297;201;993;228;604;665;413;389;258;229;596;211;208;316;160;168;305;0;0;292;254;852;281;281;315;232;177;1053;1021;310;191;160;106;128;127;225;310;218;297;250;216;183;156;228;0;94;172;174;203;198;152;220;177;149;0;0;6;5;258;182;277;169;180;297;185;229;136;288;222;90;169;131;125;192;236;184;162;245;254;295;281;317;245;439;251;422;496;8;0;248;219;620;437;278;195;504;311;136
Число бюллетеней, выданных участковой комиссией избирателям в помещении;142;212;141;82;188;191;170;159;113;120;227;174;239;189;135;309;186;310;297;575;247;189;156;166;113;230;59;114;294;185;297;269;412;217;258;251;165;150;134;186;155;129;210;157;200;247;188;283;158;262;124;144;166;174;282;113;94;284;186;175;128;227;230;50;0;0;0;169;192;220;235;596;270;209;168;158;259;383;118;143;232;172;145;124;179;218;176;97;352;141;258;206;476;198;220;965;3;0;117;220;348;504;234;828;824;355;309
Число бюллетеней, выданных избирателям, проголосовавшим вне помещения;3;5;13;37;17;10;3;7;19;1;10;15;59;87;161;6;92;16;75;166;113;103;182;198;5;98;0;20;28;34;247;8;2;3;27;5;1;111;46;91;16;5;13;32;40;132;21;1;4;27;6;15;5;156;14;27;11;22;22;1;77;5;3;0;0;0;0;28;31;60;5;25;7;34;14;40;70;5;34;63;8;62;114;26;11;3;15;7;0;212;77;20;30;74;17;24;0;10;9;13;77;202;20;108;116;20;27
Число погашенных бюллетеней;1869;1598;2363;1719;1663;2778;1734;2166;1958;1482;2162;918;2274;1220;839;2472;1333;2016;1599;763;1729;1800;1646;2176;2114;1667;11;16;1986;1727;1004;1642;1605;1765;2083;1867;1081;1118;1410;1832;1869;2160;2649;1984;1735;1811;1381;1819;1088;1295;1087;1185;1401;20;1410;994;921;1791;1194;1272;1375;1691;2118;0;10;4;0;1545;1495;1243;1891;1699;1726;1272;1189;966;1083;890;958;1125;929;1241;1149;914;1326;1417;1364;1128;1353;866;1648;729;355;1077;1041;515;39;0;826;1648;655;1057;1468;569;656;1414;928
Число бюллетеней, содержащихся в переносных ящиках;189;288;252;147;249;131;195;436;329;297;211;883;285;691;826;107;272;274;304;762;324;306;497;358;173;402;0;20;320;288;1099;289;280;318;259;182;1054;1132;356;282;176;111;13;159;265;438;239;290;254;27;189;169;233;156;106;193;184;225;218;56;297;5;151;0;0;6;5;286;211;336;174;202;304;211;155;176;148;5;124;232;139;186;303;262;195;36;260;205;84;419;388;263;469;324;438;514;8;10;257;232;697;639;297;303;620;129;86
Число бюллетеней, содержащихся в стационарных ящиках;141;214;185;134;188;190;170;198;113;121;226;174;240;189;135;621;395;310;297;575;247;193;157;166;113;231;59;114;294;185;297;269;415;217;257;251;164;150;134;181;155;129;338;157;200;247;188;290;158;478;121;146;166;174;284;118;95;284;188;272;128;404;231;50;0;0;0;168;194;219;235;599;270;216;256;142;469;605;118;143;232;172;148;119;179;347;176;147;563;215;264;208;476;199;221;971;3;0;117;220;348;504;235;760;775;557;223
Число недействительных бюллетеней;11;21;6;12;30;11;14;7;9;7;21;5;7;4;5;21;5;19;10;10;18;8;11;16;22;8;2;1;17;22;21;22;0;15;6;19;16;16;8;5;18;12;11;18;16;19;23;28;26;26;17;13;0;2;17;16;6;20;14;16;10;23;15;2;0;0;0;13;13;3;18;0;28;14;13;0;12;8;7;13;0;24;2;7;7;0;9;13;0;14;23;0;0;5;2;21;0;0;18;0;9;22;33;0;18;36;0
Число действительных бюллетеней;319;481;431;269;407;310;351;627;433;411;416;1052;518;876;956;707;662;565;591;1327;553;491;643;508;264;625;57;133;597;451;1375;536;695;520;510;414;1202;1266;482;458;313;228;340;298;449;666;404;552;386;479;293;302;399;328;373;295;273;489;392;312;415;386;367;48;0;6;5;441;392;552;391;801;546;413;398;318;605;602;235;362;371;334;449;374;367;383;427;339;647;620;629;471;945;518;657;1464;11;10;356;452;1036;1121;499;1063;1377;650;309
Число утраченных бюллетеней;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Число бюллетеней, не учтенных при получении;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Политическая партия ""НОВЫЕ ЛЮДИ""";20;41;21;16;21;32;27;36;30;30;24;26;44;45;12;42;32;17;42;20;31;24;37;46;18;27;5;4;41;30;37;43;36;44;20;32;62;48;21;32;22;23;30;33;18;30;27;44;28;22;13;20;35;13;28;24;14;42;30;21;33;28;28;1;0;0;0;14;28;34;29;62;34;35;31;16;29;39;15;22;6;24;35;30;16;24;24;26;9;31;43;18;1;21;24;23;0;0;25;42;38;34;39;6;30;27;29
